date,content_type,views,likes,comments,shares,watch_pct,ctr,followers
2025-06-01,Carousel,6323,778,82,116,53.2,2.08,9548
2025-06-02,Reel,5292,761,80,124,56.6,3.42,9615
2025-06-03,Carousel,9889,1121,113,186,52.7,4.58,9639
2025-06-03,Carousel,7764,824,184,206,48.3,2.41,9639
2025-06-04,Carousel,8322,603,196,197,65.3,5.28,9679
2025-06-04,Static Post,4609,379,50,98,47.2,5.87,9679
2025-06-05,Reel,8354,971,175,153,56.8,4.13,9727
2025-06-05,Reel,5421,659,72,85,74.6,3.29,9727
2025-06-06,Reel,13722,2373,178,518,66.1,3.63,9751
2025-06-06,Story,2647,221,16,27,72.4,4.89,9751
2025-06-08,Static Post,3697,216,52,68,58.3,3.44,9778
2025-06-09,Carousel,5665,653,112,190,61.8,4.16,9832
2025-06-10,Static Post,5594,593,69,55,72.9,4.51,9865
2025-06-11,Reel,2127,387,41,73,60.1,5.99,9925
2025-06-11,Static Post,5796,331,48,112,57.3,5.02,9925
2025-06-13,Static Post,5437,305,55,112,45.2,2.92,9951
2025-06-14,Carousel,10285,1331,221,360,52.0,2.91,9971
2025-06-14,Reel,9002,1046,193,355,44.9,2.4,9971
2025-06-15,Static Post,4557,421,69,88,45.3,4.31,9992
2025-06-16,Reel,9528,911,241,376,44.3,2.94,10016
2025-06-16,Reel,8755,1061,143,178,61.3,3.52,10016
2025-06-17,Reel,6718,815,120,195,72.2,3.39,10084
2025-06-17,Reel,6853,748,128,122,46.2,3.99,10084
2025-06-18,Reel,11905,2040,188,240,47.4,4.06,10106
2025-06-18,Story,5758,445,49,47,50.5,3.24,10106
2025-06-19,Static Post,2053,125,16,17,56.5,4.26,10138
2025-06-20,Static Post,7898,622,88,159,43.6,3.34,10176
2025-06-20,Reel,12613,2123,198,493,58.4,5.2,10176
2025-06-21,Carousel,8158,602,90,254,46.2,4.61,10240
2025-06-21,Reel,4854,461,74,166,69.9,5.32,10240
2025-06-22,Reel,3432,321,74,118,69.7,2.49,10318
2025-06-22,Static Post,3103,276,40,70,61.9,3.34,10318
