date,content_type,views,likes,comments,shares,watch_pct,ctr,followers
2025-06-01,Trending Audio,15231,1862,199,528,45.8,9.29,22193
2025-06-02,Trending Audio,23164,1910,213,842,55.8,6.12,22374
2025-06-03,Collab,30868,5179,506,741,49.2,8.98,22596
2025-06-03,Comedy Clip,23670,3474,473,365,64.2,8.0,22596
2025-06-04,Trending Audio,18096,2580,335,236,63.9,8.79,22682
2025-06-04,Comedy Clip,293169,39013,5999,7302,34.5,6.03,22682
2025-06-04,Collab,48951,5956,876,1211,51.5,9.66,22682
2025-06-05,Trending Audio,14269,2387,194,369,52.3,5.33,22897
2025-06-05,Collab,41517,5915,542,592,41.2,8.52,22897
2025-06-06,Comedy Clip,27037,3769,300,583,59.4,8.4,23115
2025-06-07,Talking Head,12096,625,85,104,50.2,9.26,23307
2025-06-07,Trending Audio,40931,6257,1017,781,36.8,9.28,23307
2025-06-07,Trending Audio,29593,4526,700,819,54.1,6.25,23307
2025-06-08,Comedy Clip,10206,801,128,303,64.9,6.21,23467
2025-06-09,Talking Head,9230,495,115,66,36.2,4.17,23643
2025-06-10,Talking Head,12723,1087,77,204,49.7,7.36,23772
2025-06-10,Trending Audio,53861,8592,746,1779,47.4,4.46,23772
2025-06-11,Talking Head,157484,12248,1485,1428,55.7,5.42,23959
2025-06-11,Comedy Clip,18906,2607,373,503,40.5,5.04,23959
2025-06-12,Talking Head,23428,1620,271,379,36.5,6.17,24137
2025-06-12,Comedy Clip,20631,1386,428,339,48.1,5.79,24137
2025-06-13,Talking Head,11844,891,119,255,54.7,7.79,24218
2025-06-14,Trending Audio,3652,553,83,58,51.4,4.81,24414
2025-06-14,Talking Head,15569,957,125,327,38.7,5.63,24414
2025-06-15,Talking Head,14916,818,217,118,51.7,7.37,24560
2025-06-15,Comedy Clip,21863,1892,420,492,34.5,9.29,24560
2025-06-16,Trending Audio,28165,4273,750,522,52.9,5.19,24642
2025-06-17,Collab,19745,1914,274,387,59.8,7.37,24795
2025-06-18,Comedy Clip,20531,2348,413,462,51.5,5.36,25039
2025-06-19,Comedy Clip,27372,2930,389,678,49.1,4.37,25199
2025-06-19,Trending Audio,36491,4496,362,1169,37.0,5.55,25199
2025-06-20,Talking Head,18235,1831,269,197,45.8,9.91,25332
2025-06-20,Talking Head,14610,717,152,308,48.9,6.99,25332
2025-06-21,Trending Audio,25665,2452,317,369,42.5,8.54,25473
2025-06-21,Comedy Clip,15417,1903,167,465,48.2,6.69,25473
2025-06-22,Comedy Clip,20983,3241,209,311,36.4,9.36,25690
2025-06-22,Trending Audio,32075,3888,643,453,60.9,8.82,25690
2025-06-23,Collab,32916,3824,946,1298,53.0,4.78,25824
2025-06-23,Trending Audio,20529,1602,488,356,43.3,9.84,25824
2025-06-24,Collab,31899,3673,461,1119,60.8,7.15,25955
2025-06-25,Comedy Clip,30062,3103,659,804,36.7,7.68,26053
2025-06-26,Comedy Clip,27073,3322,264,686,41.4,8.12,26244
2025-06-26,Comedy Clip,23179,3311,262,669,39.8,7.86,26244
2025-06-26,Trending Audio,16496,1294,238,472,62.8,9.23,26244
2025-06-27,Comedy Clip,17232,2140,369,179,35.9,6.34,26471
2025-06-27,Comedy Clip,14738,1511,299,309,30.6,6.53,26471
2025-06-27,Comedy Clip,20637,1580,388,658,58.9,8.2,26471
2025-06-28,Talking Head,12823,1282,84,230,48.9,4.58,26728
2025-06-29,Trending Audio,35484,5733,366,630,55.6,7.59,26816
2025-06-29,Comedy Clip,20150,1933,468,488,48.6,9.03,26816
2025-06-30,Comedy Clip,30628,3588,553,489,37.7,6.93,26977
2025-06-30,Talking Head,9141,607,65,89,63.2,6.67,26977
2025-07-01,Comedy Clip,22399,1668,309,474,52.8,9.7,27190
2025-07-02,Collab,38956,3129,403,1138,61.8,5.43,27361
2025-07-02,Trending Audio,24737,3083,499,593,45.7,6.85,27361
2025-07-03,Comedy Clip,20586,2841,344,447,40.3,9.59,27542
2025-07-04,Comedy Clip,16555,1876,356,382,31.0,8.05,27782
2025-07-05,Comedy Clip,10862,1112,238,284,51.3,5.86,28058
2025-07-05,Talking Head,4494,434,24,76,31.8,5.55,28058
2025-07-06,Talking Head,22981,1993,147,375,49.2,9.4,28150
2025-07-06,Trending Audio,33219,5106,545,945,52.6,9.33,28150
2025-07-06,Trending Audio,23836,3384,532,608,59.0,9.95,28150
2025-07-07,Trending Audio,23667,2982,458,310,34.3,7.35,28236
2025-07-07,Comedy Clip,32222,4124,467,814,39.6,5.84,28236
2025-07-08,Comedy Clip,27287,2891,459,741,33.5,9.34,28437
2025-07-08,Comedy Clip,22687,2560,358,318,52.6,4.27,28437
2025-07-09,Comedy Clip,20254,2506,359,363,32.5,6.46,28591
2025-07-10,Talking Head,17912,1437,117,174,64.0,5.37,28697
2025-07-11,Comedy Clip,33938,2851,754,663,43.8,5.88,28889
2025-07-11,Comedy Clip,23819,2351,325,497,45.5,9.97,28889
2025-07-11,Trending Audio,26466,3671,310,338,64.0,8.64,28889
2025-07-12,Trending Audio,33699,4085,486,627,36.8,4.35,29006
2025-07-13,Comedy Clip,27957,3203,290,650,65.0,4.9,29230
2025-07-13,Talking Head,20675,1321,184,399,46.2,8.38,29230
2025-07-14,Trending Audio,35978,6340,912,1094,48.7,9.22,29414
2025-07-15,Trending Audio,23512,1848,621,851,48.0,4.56,29659
2025-07-16,Comedy Clip,42409,3540,834,803,47.9,6.95,29875
2025-07-16,Trending Audio,27128,4391,617,722,63.5,5.2,29875
2025-07-17,Comedy Clip,27038,2491,312,467,39.0,4.18,29981
2025-07-18,Collab,53424,8598,1223,879,40.5,6.15,30214
2025-07-18,Talking Head,15461,900,243,113,64.9,8.06,30214
2025-07-18,Talking Head,20481,1105,277,388,53.0,8.6,30214
2025-07-19,Comedy Clip,31906,2299,451,618,32.3,6.09,30449
2025-07-19,Comedy Clip,25253,2329,227,542,57.8,8.24,30449
2025-07-19,Comedy Clip,30867,3137,382,479,39.8,8.82,30449
2025-07-20,Comedy Clip,36577,4204,410,407,37.5,6.5,30582
2025-07-20,Talking Head,19400,1752,286,274,58.8,7.33,30582
2025-07-21,Talking Head,19341,1504,134,368,39.5,6.98,30738
2025-07-21,Comedy Clip,39211,4795,339,1056,41.1,4.0,30738
2025-07-22,Talking Head,19250,1432,174,415,32.9,9.59,31026
2025-07-22,Talking Head,24214,1951,357,386,61.8,9.66,31026
2025-07-23,Comedy Clip,28912,3178,400,704,54.6,4.03,31351
2025-07-23,Comedy Clip,20268,2546,463,551,63.3,8.22,31351
2025-07-23,Comedy Clip,32483,2253,435,1024,47.5,6.6,31351
2025-07-24,Trending Audio,44926,3383,1098,752,49.3,6.49,31485
2025-07-24,Talking Head,21162,1815,296,396,31.3,6.37,31485
2025-07-24,Collab,40631,6604,1150,577,53.9,6.81,31485
2025-07-25,Comedy Clip,8635,1217,69,162,41.8,4.12,31818
2025-07-26,Trending Audio,32769,4284,645,401,46.2,9.78,32035
2025-07-26,Trending Audio,44152,6894,811,1628,34.4,4.1,32035
2025-07-27,Comedy Clip,19731,2064,256,354,55.9,5.34,32248
2025-07-27,Trending Audio,54870,7274,1362,1603,49.1,8.98,32248
2025-07-27,Trending Audio,41367,4002,485,1445,54.9,9.62,32248
2025-07-28,Talking Head,19380,2047,120,247,37.9,5.17,32492
2025-07-28,Comedy Clip,30259,4118,509,412,58.4,7.82,32492
2025-07-29,Trending Audio,30492,4608,570,413,54.1,8.14,32653
2025-07-29,Collab,40157,4248,419,968,40.6,8.57,32653
2025-07-29,Comedy Clip,29256,4374,575,657,36.3,6.75,32653
2025-07-30,Trending Audio,38006,3049,919,1406,57.8,9.12,32817
2025-07-30,Comedy Clip,28921,2562,422,680,32.6,7.73,32817
2025-07-30,Collab,39453,6658,1066,1517,63.6,7.13,32817
2025-07-31,Comedy Clip,20565,1770,307,568,63.6,8.58,33210
2025-07-31,Talking Head,27970,2730,387,362,49.3,8.83,33210
2025-08-01,Comedy Clip,23712,2466,195,498,53.2,4.71,33397
2025-08-02,Collab,39828,5392,774,1031,52.2,4.54,33567
2025-08-03,Collab,53389,5771,1090,1204,53.0,5.44,33967
2025-08-03,Comedy Clip,22813,1694,358,348,31.4,4.22,33967
2025-08-04,Trending Audio,57186,7671,954,1162,59.4,4.86,34142
2025-08-05,Collab,29612,3760,727,762,47.4,5.23,34550
2025-08-05,Trending Audio,46963,4543,482,646,62.9,7.04,34550
2025-08-05,Trending Audio,29206,4753,437,867,57.0,7.93,34550
2025-08-06,Trending Audio,40335,4684,759,1031,50.7,4.37,34848
2025-08-06,Comedy Clip,28441,2367,312,302,45.3,9.3,34848
2025-08-06,Comedy Clip,43738,5392,624,1188,51.3,9.38,34848
2025-08-07,Talking Head,13839,946,209,270,64.5,8.53,35215
2025-08-08,Comedy Clip,49368,3301,592,1078,39.4,7.77,35534
2025-08-09,Trending Audio,29225,4384,662,427,48.0,7.05,35766
2025-08-09,Comedy Clip,38062,4948,571,1170,54.3,8.37,35766
2025-08-10,Comedy Clip,42809,3336,476,1074,35.5,4.71,36029
2025-08-10,Talking Head,36033,2329,382,538,43.6,9.44,36029
2025-08-11,Talking Head,3703,330,58,51,38.2,8.23,36186
2025-08-12,Trending Audio,11547,1450,128,421,55.0,9.71,36584
2025-08-12,Comedy Clip,24183,3351,444,585,41.1,8.9,36584
2025-08-12,Trending Audio,43644,7171,1164,1222,38.7,4.98,36584
2025-08-13,Comedy Clip,30426,2954,532,541,55.6,6.43,36934
2025-08-14,Comedy Clip,48988,3505,539,922,64.4,8.71,37180
2025-08-14,Talking Head,12559,1183,174,205,64.7,5.95,37180
2025-08-15,Collab,19863,3748,233,472,55.8,8.23,37499
2025-08-15,Trending Audio,39680,4632,545,683,46.9,5.61,37499
2025-08-15,Comedy Clip,34520,2485,309,1084,40.4,4.55,37499
2025-08-16,Trending Audio,44866,3436,1183,825,53.7,8.24,37896
2025-08-16,Trending Audio,48792,8096,1270,717,35.4,9.67,37896
2025-08-16,Talking Head,9388,542,110,168,53.8,6.45,37896
2025-08-17,Collab,54192,8823,743,1673,47.4,8.46,38209
2025-08-18,Talking Head,37242,2694,305,515,55.3,4.05,38413
2025-08-18,Trending Audio,19699,2954,209,336,60.7,8.43,38413
2025-08-19,Comedy Clip,43920,3163,966,801,44.9,5.29,38595
2025-08-19,Trending Audio,16989,2852,270,417,39.9,8.72,38595
2025-08-19,Comedy Clip,19394,1707,450,326,57.0,6.56,38595
2025-08-20,Trending Audio,53026,7687,1228,1250,52.1,5.49,39003
2025-08-21,Trending Audio,36414,6310,369,1202,40.2,6.66,39355
2025-08-21,Comedy Clip,25790,2828,574,328,56.8,6.46,39355
2025-08-22,Collab,43845,6043,1083,1685,56.1,8.32,39705
2025-08-22,Talking Head,23626,1886,192,438,32.7,9.24,39705
2025-08-23,Collab,57551,6710,944,1528,62.9,9.26,40018
2025-08-24,Comedy Clip,40530,5564,875,730,46.2,6.49,40595
2025-08-25,Comedy Clip,5888,478,109,91,34.1,4.99,41055
2025-08-25,Comedy Clip,38095,3035,346,412,35.8,9.35,41055
2025-08-25,Comedy Clip,61270,4569,690,1340,51.3,5.47,41055
2025-08-26,Comedy Clip,43240,6691,617,1170,60.5,8.07,41358
2025-08-26,Trending Audio,68185,6572,1015,1768,50.1,4.13,41358
2025-08-26,Collab,58663,7578,1667,1568,34.0,8.59,41358
2025-08-27,Trending Audio,42714,3284,993,587,46.6,7.36,41648
2025-08-27,Trending Audio,47515,7735,1130,1591,47.0,6.0,41648
2025-08-27,Talking Head,43283,2447,633,896,46.3,4.45,41648
2025-08-28,Comedy Clip,17956,2381,377,403,64.4,6.7,42150
2025-08-28,Trending Audio,333880,33158,8669,4371,45.6,4.42,42150
2025-08-29,Comedy Clip,63090,7871,1189,667,37.6,7.97,42528
2025-08-29,Trending Audio,38448,6131,880,999,32.3,8.6,42528
2025-08-30,Trending Audio,62121,4754,790,1875,43.5,7.97,42993
2025-08-30,Comedy Clip,48698,3868,576,1158,45.2,8.65,42993
2025-08-31,Trending Audio,73596,7613,930,1472,38.5,5.29,43478
