date,content_type,views,likes,comments,shares,watch_pct,ctr,followers
2025-06-03,Behind the Scenes,7026,284,60,25,39.7,6.75,18034
2025-06-05,Behind the Scenes,17546,799,107,48,45.0,6.12,18139
2025-06-07,Clip/Highlight,13180,1519,125,43,55.4,5.41,18159
2025-06-07,Interview,12747,888,190,85,49.9,3.57,18159
2025-06-09,Long-form Comedy,13018,807,80,64,36.1,8.05,18250
2025-06-09,Long-form Comedy,9775,714,79,50,53.0,4.42,18250
2025-06-10,Clip/Highlight,18777,1864,201,132,52.2,8.31,18345
2025-06-12,Long-form Comedy,11399,928,97,42,52.9,4.2,18398
2025-06-14,Long-form Comedy,5435,297,27,17,58.5,7.45,18431
2025-06-16,Long-form Comedy,7216,600,81,28,37.1,5.05,18482
2025-06-16,Long-form Comedy,14843,1252,144,40,58.5,7.3,18482
2025-06-17,Long-form Comedy,16746,703,202,44,49.5,4.51,18522
2025-06-17,Behind the Scenes,19095,1285,109,96,52.8,4.52,18522
2025-06-19,Long-form Comedy,8412,404,120,57,55.9,7.86,18547
2025-06-21,Clip/Highlight,14034,841,156,135,44.0,6.74,18585
2025-06-21,Long-form Comedy,14627,842,117,43,52.6,5.92,18585
2025-06-23,Interview,14027,1159,133,120,66.8,4.76,18634
2025-06-23,Clip/Highlight,6398,457,65,18,55.1,6.01,18634
2025-06-24,Long-form Comedy,17017,1132,161,90,54.6,3.9,18655
2025-06-24,Clip/Highlight,20449,1385,346,128,67.5,5.49,18655
2025-06-26,Behind the Scenes,7679,290,75,41,35.5,6.06,18682
2025-06-28,Long-form Comedy,10017,871,89,51,62.6,6.88,18733
2025-06-30,Behind the Scenes,13362,972,126,62,43.0,3.97,18838
2025-06-30,Behind the Scenes,6922,529,70,25,46.5,7.13,18838
2025-07-01,Clip/Highlight,19485,1484,364,198,44.4,5.03,18937
2025-07-03,Clip/Highlight,23738,1580,374,105,45.7,7.23,19021
2025-07-03,Clip/Highlight,17531,1559,135,95,43.8,4.72,19021
2025-07-05,Clip/Highlight,19879,2204,241,105,56.3,6.84,19133
2025-07-05,Behind the Scenes,10785,665,123,21,67.8,5.85,19133
2025-07-08,Long-form Comedy,6502,561,60,50,66.8,7.77,19187
2025-07-08,Long-form Comedy,15659,874,104,83,65.9,6.98,19187
2025-07-10,Long-form Comedy,10802,794,92,38,44.7,5.11,19212
2025-07-10,Behind the Scenes,12118,737,86,49,43.5,6.56,19212
2025-07-12,Clip/Highlight,12286,1276,183,99,61.3,7.95,19280
2025-07-12,Long-form Comedy,9295,640,49,44,52.9,4.93,19280
2025-07-14,Long-form Comedy,11171,616,115,44,62.3,4.86,19323
2025-07-14,Interview,17860,976,179,121,39.6,4.16,19323
2025-07-15,Long-form Comedy,11572,922,89,53,37.6,3.63,19392
2025-07-15,Interview,15278,1015,113,49,43.3,6.25,19392
2025-07-17,Interview,16974,1342,189,110,49.4,7.15,19430
2025-07-17,Long-form Comedy,8067,371,67,20,38.1,5.06,19430
2025-07-19,Clip/Highlight,17381,1014,224,109,40.7,5.67,19521
2025-07-19,Clip/Highlight,23626,1298,268,176,51.6,7.78,19521
2025-07-21,Interview,19432,1864,292,124,61.4,6.89,19605
2025-07-21,Clip/Highlight,17667,1861,258,158,56.5,4.53,19605
2025-07-22,Long-form Comedy,11837,484,70,72,37.3,5.09,19633
2025-07-24,Long-form Comedy,12958,967,109,98,36.3,5.59,19727
2025-07-24,Interview,7177,532,72,42,54.0,7.16,19727
2025-07-26,Behind the Scenes,13859,1034,115,81,59.9,4.02,19789
2025-07-26,Interview,13746,986,200,59,64.6,5.45,19789
2025-07-29,Clip/Highlight,18214,1518,235,59,38.0,6.51,19906
2025-07-31,Behind the Scenes,13402,959,155,30,51.3,3.79,20005
2025-07-31,Clip/Highlight,23064,1725,185,85,60.1,6.59,20005
2025-08-02,Clip/Highlight,17452,1159,203,166,39.8,6.07,20126
2025-08-05,Clip/Highlight,14742,1511,202,87,64.9,4.06,20195
2025-08-05,Clip/Highlight,17489,922,220,53,38.9,4.09,20195
2025-08-07,Clip/Highlight,15948,1324,120,107,49.4,7.51,20310
2025-08-09,Long-form Comedy,8654,731,88,68,37.4,6.27,20456
2025-08-11,Long-form Comedy,11064,850,156,85,36.9,5.47,20502
2025-08-11,Long-form Comedy,21656,1229,145,127,47.8,4.65,20502
2025-08-12,Interview,7340,651,95,24,65.1,7.61,20537
2025-08-12,Interview,18357,1540,224,91,65.8,7.83,20537
2025-08-14,Clip/Highlight,19271,2236,219,162,48.0,7.65,20584
2025-08-16,Clip/Highlight,29162,2302,293,88,63.5,7.56,20722
2025-08-18,Clip/Highlight,25966,1987,250,109,43.3,4.87,20873
2025-08-18,Long-form Comedy,19463,1633,244,44,43.9,3.61,20873
2025-08-19,Behind the Scenes,19159,1165,182,125,48.3,4.17,20972
2025-08-19,Long-form Comedy,16151,1255,180,100,42.0,4.18,20972
2025-08-21,Clip/Highlight,25880,1498,412,177,49.9,8.05,21137
2025-08-21,Long-form Comedy,25663,1698,307,173,50.2,7.71,21137
2025-08-23,Clip/Highlight,21108,1548,311,94,37.5,4.14,21202
2025-08-26,Clip/Highlight,24097,1535,374,140,63.9,6.08,21289
2025-08-28,Long-form Comedy,12804,568,79,61,41.8,5.32,21344
2025-08-28,Clip/Highlight,18279,1770,128,161,55.7,3.91,21344
2025-08-30,Clip/Highlight,22996,2669,309,225,42.8,7.3,21397
2025-08-30,Clip/Highlight,16901,1670,123,63,39.4,6.94,21397
