compound,lap_in_stint,delta_sec
HARD,2,27.381125000000004
HARD,3,25.766200000000005
HARD,4,48.891625000000005
HARD,5,51.762625
HARD,6,47.892125
HARD,7,46.688625
HARD,8,21.1655
HARD,9,1.3223749999999992
HARD,10,7.955
HARD,11,11.424199999999999
HARD,12,9.311333333333332
HARD,13,21.7725
INTER,1,0.0
INTER,2,37.976580645161285
INTER,3,38.36909677419355
INTER,4,21.76945161290323
INTER,5,20.071709677419353
INTER,6,15.125612903225807
INTER,7,12.831870967741933
INTER,8,4.010967741935482
INTER,9,2.6618387096774194
INTER,10,2.3188387096774186
INTER,11,2.055178571428572
INTER,12,2.2265599999999974
INTER,13,2.506119999999998
INTER,14,3.4188235294117626
INTER,15,3.3225294117647044
INTER,16,2.861411764705881
INTER,17,2.493999999999999
INTER,18,2.570588235294116
INTER,19,2.351823529411764
INTER,20,2.0205294117647052
INTER,21,1.7106470588235279
INTER,22,1.4880588235294123
INTER,23,1.1994705882352936
INTER,24,1.0244705882352922
INTER,25,0.6316470588235286
INTER,26,0.4307647058823509
INTER,27,0.24976470588235097
INTER,28,0.40517647058823475
INTER,29,19.397
INTER,30,37.75271428571428
INTER,31,40.41
INTER,33,48.198499999999996
INTER,34,41.689499999999995
INTER,35,36.13249999999999
MEDIUM,2,23.264125
MEDIUM,3,9.469000000000003
MEDIUM,4,37.069375
MEDIUM,5,44.458875000000006
MEDIUM,6,35.65857142857143
MEDIUM,7,37.12685714285715
MEDIUM,8,22.301333333333332
MEDIUM,9,1.5695000000000003
MEDIUM,10,0.6179999999999998
MEDIUM,11,14.63233333333333
MEDIUM,12,18.72933333333333
MEDIUM,13,16.635499999999993
