compound,lap_in_stint,delta_sec
HARD,1,8.557000000000002
HARD,2,0.29097058823529415
HARD,3,1.357852941176469
HARD,4,0.4348484848484851
HARD,5,1.1302727272727275
HARD,6,0.7118181818181812
HARD,7,2.4419374999999994
HARD,8,1.6426129032258072
HARD,9,0.8031612903225814
HARD,10,3.2179999999999995
HARD,11,3.2467142857142854
HARD,12,1.355821428571429
HARD,13,1.3470000000000009
HARD,14,3.223892857142857
HARD,15,1.746666666666665
HARD,16,1.2773499999999998
HARD,17,1.0902352941176465
HARD,18,1.4464999999999977
HARD,19,0.7399166666666647
HARD,20,1.5208333333333321
HARD,21,1.0173333333333308
HARD,22,0.8596249999999959
HARD,23,1.0193750000000001
HARD,24,1.2233333333333267
HARD,25,1.1901666666666628
HARD,26,1.1034999999999993
HARD,27,1.277749999999994
HARD,28,1.2789999999999964
HARD,29,1.4519999999999982
MEDIUM,2,0.0
MEDIUM,3,0.34499999999999886
MEDIUM,4,0.5079999999999956
MEDIUM,5,0.8509999999999991
MEDIUM,6,0.2599999999999909
MEDIUM,7,0.7269999999999897
MEDIUM,8,0.6099999999999994
MEDIUM,9,2.6259999999999906
MEDIUM,10,2.9369999999999976
SOFT,1,5.456105263157895
SOFT,2,0.4292647058823529
SOFT,3,0.2516666666666656
SOFT,4,0.3938787878787863
SOFT,5,0.5739090909090898
SOFT,6,0.7683939393939376
SOFT,7,0.8054545454545441
SOFT,8,1.2768749999999995
SOFT,9,1.4389062499999987
SOFT,10,1.3305806451612883
SOFT,11,2.382607142857142
SOFT,12,1.6369999999999998
SOFT,13,2.719368421052631
SOFT,14,1.5800666666666652
SOFT,15,1.7812307692307665
SOFT,16,1.6139090909090923
SOFT,17,1.883000000000001
SOFT,18,2.3903333333333356
SOFT,19,0.9979999999999976
SOFT,20,1.0714999999999932
SOFT,21,1.0374999999999943
SOFT,22,4.260999999999996
